revenue_district_office_number,revenue_district_office,bank_code,bank_name,bank_branch,bank_address,,,,,,,1,30
47,East Makati,33050,PNB,Bangkal,G/F Papa Bldg 1638 Evangelista St Bangkal West Makati,,,,,,,,
47,East Makati,33058,PNB,Legaspi Village,G/F First Life Center Bldg 174 Salcedo St Legaspi Vill Makati City,,,,,,,,
47,East Makati,33072,PNB,San Lorenzo,Grd Flr Jackson Bldg 926 A Arnaiz Ave East Makati,,,,,,,,
47,East Makati,33122,PNB,Benavidez,"Benavidez St., Legaspi Village, Makati City 1229",,,,,,,,
47,East Makati,33127,PNB,Edison-Buendia,G/F Visard Bldg 19 Sen G Puyat Ave Palanan Makati City,,,,,,,,
47,East Makati,33361,PNB,Allied Bank Head Office),6754 Ayala Cor Legaspi Makati City,,,,,,,,
47,East Makati,170000,PVB,Head Office,"St., Legaspi Village, Makati City / 3/F Atrium Bldg Makati Ave Makati City",,,,,,,,
47,East Makati,026-011,RCBC,Legaspi Village,"Accra Condominium Salcedo St., Legaspi Village., Makati City",,,,,,,,
47,East Makati,026-074,RCBC,Greenbelt,"108 Units G1 & G2 Bsa Tower, Legaspi St., Legaspi Village, Makati City",,,,,,,,
47,East Makati,026-115,RCBC,San Lorenzo,1018 G/F L & R Bldg A S Arnaiz  Ave Makati City,,,,,,,,
47,East Makati,26179,RCBC,Carlos Palanca,G/F Bsa Suites Carlos Palanca St. Legaspi Village Makati City,,,,,,,,
47,East Makati,027-000,SBTC,Main Branch,"6776 Sbc Center Ayala Avenue, Makati City",,,,,,,,
47,East Makati,027-041,SBTC,Paseo De Roxas,Corporate Business Center #151 Paseo De Roxas  Cor Arnaiz Makati City,,,,,,,,
47,East Makati,027-125,SBTC,Medical Plaza,G 103 Medical Plaza Bldg Dela Rosa Cor Amorsolo St Makati City,,,,,,,,
47,East Makati,27154,SBTC,Nieva,"G1 & G2 Asian Mansion 2, Dela Rosa Corner Nieva St., Legaspi Village, Makati City",,,,,,,,
47,East Makati,27204,SBTC,Herrera,"Rufino Corner Bolanos & Esteban Streets, Legaspi Village, Makati City",,,,,,,,
47,East Makati,010-005,UCPB,Ayala,G/F Ayala Life  Fgu Center 6811 Ayala Avenue Makati City,,,,,,,,
47,East Makati,010-032,UCPB,Pasay Road,G/F Ginbo Bldg  #824 Arnaiz Ave San Lorenzo Village Makati City,,,,,,,,
47,East Makati,010-043,UCPB,Paseo De  Roxas,Asian Mansion 1 Condo Dela Rosa St Legaspi  Village Makati City,,,,,,,,
47,East Makati,010-046,UCPB,Aguirre,Pet Bldg #114 Aguirre St Legaspi Village Makati City,,,,,,,,
47,East Makati,010-058,UCPB,Salcedo,Philcox Bldg  #172 Salcedo St Legaspi Village Makati City,,,,,,,,
47,East Makati,010-060,UCPB,Herrera,#116 Alsco Bldg V A Rufino St (Formerly Herrera St) Legaspi Village Makati City,,,,,,,,
47,East Makati,43125,UNION,Aguirre,"B & M Bldg Aguirre St Legaspi Village, Makati City",,,,,,,,
47,East Makati,43128,UNION,Pasay Road,"912 Gemland Comm’L Bldg Pasay Road San Lorenzo Village, Makati City",,,,,,,,
47,East Makati,043-162,UNION,Ayala - Madrigal,"G/F Madrigal Building, 6793 Ayala Avenue, Makati City",,,,,,,,
47,East Makati,043-163,UNION,Ayala - Sss,Sss (Makati) Building Ayala Avenue Corner V.A. Rufino St. Makati City,,,,,,,,
47,East Makati,043-171,UNION,Rada,"Prince Bldg., 117 Rada St, Legaspi Village",,,,,,,,
47,East Makati,043-049,UNION,Greenbelt,"110 Twin Cities Condominium Bldg., Legaspi St., Legaspi Village, Makati City",,,,,,,,
47,East Makati,043-065,UNION,Perea,"G/F Greenbelt Mansion Bldg., 106 Perea St., Legaspi Village, Makati City",,,,,,,,
47,East Makati,043-072,UNION,Ayala - Rufino,6784 Rufino Bldg. Ayala Ave. Corner V. Rufino St. Makati City,,,,,,,,
47,East Makati,043-089,UNION,Salcedo,"G/F Golden Rock Bldg., 168 Salcedo St., Legaspi Vill., Makati City",,,,,,,,
47,East Makati,043-122,UNION,Amorsolo,"G/F Unionbank Amorsolo Bldg., 142 Amorsolo St., Legaspi Village, Makati City",,,,,,,,
48,West Makati,158068,BOC,Pasong Tamo,"2295 Jannov Plaza Bldg., Pasong Tamo Extn, Makati City",,,,,,,,
48,West Makati,158095,BOC,Buendia-Pasong Tamo,"250 Sen Gil. Puyat Ave. Cor Pasong Tamo St., Legaspi Village, Makati City",,,,,,,,
48,West Makati,2024,BPI,Magallanes South,Magallanes Comml Center,,,,,,,,
48,West Makati,2055,BPI,Pasong Tamo,2279 Pasong Tamo Ext Makati City,,,,,,,,
48,West Makati,2102,BPI,Mcc Atrium,"G/F/ Atrium Of Makati, Apartment Ridge Cor Makati Ave., Makati City",,,,,,,,
48,West Makati,2412,BPI,Bangkal,"1686 Cor Evangelista & Hen. P. Garcia Sts., Bangkal, Makati City 1233",,,,,,,,
48,West Makati,2413,BPI,Magallanes,"Edsa Magallanes Village, Makati City 1232",,,,,,,,
48,West Makati,2415,BPI,Pasong Tamo,"2182 Chino Roces Avenue, Makati City
1231",,,,,,,,
48,West Makati,2419,BPI,Chino Roces,"G/F United Phil Realty Corp., 2289 Chino Roces Extn, Makati City 1231",,,,,,,,
48,West Makati,2499,BPI,Sm Hypermarket Makati,"G/F Sm Hypermarket Makati, Finlandia St., Cor. South Super Highway, Brgy. San Isidro, Makati City",,,,,,,,
48,West Makati,2500,BPI,Magallanes Edsa,G/F Mpi Building 1052 Edsa Magallanes Village Makati City,,,,,,,,
48,West Makati,002-594,BPI,La Fuerza,"Unit/S 1 & 2 La Fuerza Plaza 1,  2241 Don Chino Roces Avenue, Makati City 1231",,,,,,,,
48,West Makati,3066,CBC,Gil Puyat  Avenue,"65 Sen Gil Puyat Ave. Brgy. Palanan, Makati City",,,,,,,,
48,West Makati,3084,CBC,Amorsolo,Unit 101 Vm Cond 146 Amorsolo Street Legaspi Village Makati City,,,,,,,,
48,West Makati,3096,CBC,P Tamo Extn,Manila Memorial Park Bldg 2283 P Tamo Extn Cor Lumbang Makati City,,,,,,,,
48,West Makati,3129,CBC,Pasong Tamo- Cityland**,"Cityland Pasong Tamo Tower 2210 Pasong Tamo Street, Makati City",,,,,,,,
48,West Makati,3174,CBC,Evangelista,"Evangelista Corner Gen. Estrella Sts., Makati City",,,,,,,,
48,West Makati,3176,CBC,Magallanes Village,"Corner Edsa, Magallanes Village, Makati City",,,,,,,,
48,West Makati,30000,CITIBANK,Head Office,G/F Citibank Tower 8741 Paseo De Roxas Makati 1200,,,,,,,,
48,West Makati,078-000,DBP,Dbp Head Office,"Sen. Gil Puyat Ave., Makati City",,,,,,,,
48,West Makati,086-154,LBP,Pasong Tamo,"G/F Kings Court 2 Bldg Dela Rosa St Cor
P. Tamo Makati City",,,,,,,,
48,West Makati,086-296,LBP,Makati Tb Atrium,Grd Floor Atrium Blldg Mkt Ave Makt City,,,,,,,,
48,West Makati,015-187,MBTC,Kayamanan C,"2300 Pifco Bldg., Pasong Tamo Extension,Makati City",,,,,,,,
48,West Makati,015-124,MBTC,Pasong Tamo,2300 Leelin Bldgpasong Tamo Makati,,,,,,,,
48,West Makati,015-416,MBTC,Buendia-Dian,"Buendia Ave. Corner Dian Street, Makati City",,,,,,,,
48,West Makati,015-423,MBTC,Edsa-Magallanes,"19 Edsa,  Bangkal, Makati City",,,,,,,,
48,West Makati,015-427,MBTC,Pasong Tamo-Buendia,"Unit A & B, Ground Floor Orchid Tower  Oriental Garden Makati Chino Roces Avenue, Makati City",,,,,,,,
48,West Makati,015-429,MBTC,Don Bosco-Makati,La Fuerza Plaza Building 2241 Don Chino Roces Avenue Makati City,,,,,,,,
48,West Makati,015-430,MBTC,Pasong Tamo Extensio,"2280 G/F Moridel Bldg., Pasong Tamo  Extension, Makati City",,,,,,,,
48,West Makati,015-440,MBTC,Magallanes Village,"Paseo De Magallanes, Makati City",,,,,,,,
48,West Makati,015-457,MBTC,Rada-Rodriguez,"Unit 101 La Maison Condo. 115 Rada Street Legaspi Village, Makati City",,,,,,,,
48,West Makati,21004,PHILTRUST,Makati,Liberty Bldg Pasay Road East Makati,,,,,,,,
48,West Makati,33050,PNB,Bangkal,G/F Papa Bldg 1638 Evangelista St Bangkal West Makati,,,,,,,,
48,West Makati,33072,PNB,San Lorenzo,Grd Flr Jackson Bldg 926 A Arnaiz Ave East Makati,,,,,,,,
48,West Makati,33127,PNB,Edison-Buendia,G/F Visard Bldg 19 Sen G Puyat Ave Palanan Makati City,,,,,,,,
48,West Makati,33219,PNB,Chino Roces Extension,"Alegro Center, 2284 Chino Roces Avenue Extension, Makati City",,,,,,,,
48,West Makati,170000,PVB,Head Office,"St., Legaspi Village, Makati City / 3/F Atrium Bldg Makati Ave Makati City",,,,,,,,
48,West Makati,026-114,RCBC,Pasong Tamo,"# 2283 Pasong Tamo Extn., Makati City",,,,,,,,
48,West Makati,027-055,SBTC,Dela Rosa,G/F King’S Court Ll Bldg #2129 Pasong Tamo Cor Dela Rosa St Makati City,,,,,,,,
48,West Makati,027-081,SBTC,Pasong Tamo,G/F Narra Bldg Pasong Tamo Extn Makati City,,,,,,,,
48,West Makati,27167,SBTC,Bangkal-Makati,"G/F Dasman Bldg., #1680 Evangelista Street Corner Del Pilar St., Bangkal, Makati City",,,,,,,,
48,West Makati,010-032,UCPB,Pasay Road,G/F Ginbo Bldg  #824 Arnaiz Ave San Lorenzo Village Makati City,,,,,,,,
48,West Makati,010-061,UCPB,Puyat Bautista,Majalco Bldg Gil Puyat Ave & Bautista Street Palanan Makati City,,,,,,,,
48,West Makati,010-115,UCPB,Malibay,G/F Commercial Bldg  #715 Edsa  Malibay Pasay City,,,,,,,,
48,West Makati,010-130,UCPB,Pasong Tamo,Sanden Bldg  2305 Pasong Tamo Extension Makati City,,,,,,,,
48,West Makati,010-149,UCPB,Marvin Plaza,Marvin Plaza Bldg 2153 Don Chino Roces Avenue Cor. Rufino St. Makati City,,,,,,,,
48,West Makati,010-175,UCPB,Chino Roces,Alegria Bldg  #2229 Chino Roces Extension Makati Extension1231,,,,,,,,
48,West Makati,43033,UNION,Pasong Tamo,"La Fuerza Bldg 2241 Pasong Tamo Street, Makati City",,,,,,,,
48,West Makati,043-164,UNION,Dasmarinas Vill,Solid House Bldg. Lumbang St. Corner Pasong Tamo Extension,,,,,,,,
48,West Makati,043-167,UNION,Magallanes,"Ground Floor, Maga Center Building, Paseo De Magallanes",,,,,,,,
48,West Makati,043-169,UNION,Pasong Tamo - Jtkc,"G/F Jtkc Building, Pasong Tamo, Makati City",,,,,,,,
48,West Makati,043-170,UNION,Pasong Tamo Ext.,"G/F Priscilla 100 Bldg., 2297 Pasong Tamo Ext., Makati City",,,,,,,,
48,West Makati,019-062,PBCOM,Alphaland Southgate Mall,"3/F Alphaland Southgate Mall, Chino Roces Avenue Corner Edsa, Makati City",,,,,,,,
48,West Makati,177042,EASTWEST BANK,Dela Rosa Pasong Tamo,"G/F Kings Court Ii Bldg., 2129 Chino Roces Ave., Makati City",,,,,,,,
48,West Makati,177070,EASTWEST BANK,Evangelista,"Evangelista Cor. Hen. Mojica St., Bangkal, Makati City",,,,,,,,
48,West Makati,177098,EASTWEST BANK,Magallanes Village,"G/F Unit 102, Tristan Plaza Bldg., San Antonio St., Paseo De Magallanes, Makati City",,,,,,,,
48,West Makati,27185,SBTC,Buendia Dian,"Omron Building, # 40 Buendia Ave., Brgy. San Isidro, Makati City",,,,,,,,
48,West Makati,27192,SBTC,Chino Roces Avenue- Don Bosco,"2224 Chino Roces Ave. Corner Don Bosco St., Makati City",,,,,,,,
49,North Makati,158018,BOC,Bel-Air,"Unit 1-B, Eurocrest Bldg., 126 Jupiter St., Bgry. Ble Air, Makati City",,,,,,,,
49,North Makati,2076,BPI,Buendia Reposo,"G/F Itc Bldg., 337 Sen Gil Puyat Ave., Makati City",,,,,,,,
49,North Makati,2102,BPI,Mcc Atrium,"G/F/ Atrium Of Makati, Apartment Ridge Cor Makati Ave., Makati City",,,,,,,,
49,North Makati,2282,BPI,Buendia Center,"G/F Bpi Buendia Center Bldg., Sen. Gil Puyat Ave., Makati City",,,,,,,,
49,North Makati,2284,BPI,Pacific Star,"2/F Pacific Star Bldg., Makati Cor Buendia Ave., Ext., Makati City",,,,,,,,
49,North Makati,2373,BPI,Jp Rizal,"847 Jp Rizal And Quintos Sts., Brgy Poblacion, Makati City",,,,,,,,
49,North Makati,2396,BPI,Buendia South Superhighway,"92 Sen. Gil Puyat Ave., Makati City",,,,,,,,
49,North Makati,2418,BPI,Ayala Avenue Ext.,"St., And Metropolitan Sts., Makati Ccity 1209",,,,,,,,
49,North Makati,2473,BPI,Bel Air Paseo,"54 Jupiter St, Bel Air Village, Makati City 1209",,,,,,,,
49,North Makati,2474,BPI,Bel Air Polaris,"G/F Ventures Ii Bldg., 51 Polaris St., Bel Air Village Makati City 1209",,,,,,,,
49,North Makati,2475,BPI,San Antonio Kamagong,"Cor. Kamagong And Catmon Sts., San Antonio Village, Makati City",,,,,,,,
49,North Makati,002-596,BPI,Buendia Pasong Tamo,"G/F Comfoods Bldg.,   Sen. Gil Puyat Ave., Cor Pasong Tamo Makati City",,,,,,,,
49,North Makati,3102,CBC,Makati Ave,Cbc Bldg Makati Ave Cor Herrera St North Makati,,,,,,,,
49,North Makati,176009,CHINATRUST,Buendia,"G/F Burgundy Corporate Tower, 252 Sen. Gil Puyat Ave., Makati City",,,,,,,,
49,North Makati,30000,CITIBANK,Head Office,G/F Citibank Tower 8741 Paseo De Roxas Makati 1200,,,,,,,,
49,North Makati,078-000,DBP,Dbp Head Office,"Sen. Gil Puyat Ave., Makati City",,,,,,,,
49,North Makati,086-004,LBP,Buendia,319 Sen Gil Puyat  Avenue North Makati,,,,,,,,
49,North Makati,086-260,LBP,J.P. Rizal,Jp Rizal Cor Layug St West Makati Makati,,,,,,,,
49,North Makati,086-296,LBP,Makati Tb Atrium,Grd Floor Atrium Blldg Mkt Ave Makt City,,,,,,,,
49,North Makati,086-304,LBP,Makati City Hall,"G/F Makati City Hall  Bldg., J.P. Rizal St., Pob. Makati City",,,,,,,,
49,North Makati,015-160,MBTC,Skyland Plaza,"G/F Skyland Plaza Condominium, Sen. Gil Puyat Ave., Makati City",,,,,,,,
49,North Makati,015-203,MBTC,J.P. Rizal,"Along J. P. Rizal Street, Makati City",,,,,,,,
49,North Makati,015-000,MBTC,Head Office Ctr,"Metrobank Bldg Gil Puyat Avenue, Makati City",,,,,,,,
49,North Makati,015-411,MBTC,Pasong Tamo-Metropo,"1133 Pasong Tamo Street, Barangay  San Antonio Village, Makati City",,,,,,,,
49,North Makati,015-412,MBTC,Pasong Tamo-Bagtikan,"G/F Unit A Bm Lou-Bel Plaza, Bagtikan Corner Pasong Tamo Street, Makati City",,,,,,,,
49,North Makati,015-414,MBTC,Kamagong-Sampaloc,"Kamagong Corner Sampaloc Street, San Antonio Village, Makati City",,,,,,,,
49,North Makati,015-428,MBTC,Pasong Tamo-Javier,"Marvin Plaza, Chino Roces Avenue,   Makati City",,,,,,,,
49,North Makati,015-431,MBTC,Kalayaan-Bel Air,"G/F Primetown Tower, Kalayaan Ave.,Bel-Air, Makati City",,,,,,,,
49,North Makati,015-433,MBTC,Rockwell Center,"Phinma Bldg., Rockwell Center, Makati City",,,,,,,,
49,North Makati,015-434,MBTC,Jupiter-Bel Air,"130 Jupiter Street, Bel-Air,  Makati City",,,,,,,,
49,North Makati,019-002,PBCOM,Sen Gil Puyat Avenue,Gil Puyat Ave Salcedo Village Makati City,,,,,,,,
49,North Makati,21028,PHILTRUST,Gil Puyat Avenue,259-263 Gil Puyat Ave North Makati,,,,,,,,
49,North Makati,33042,PNB,Buendia,P De Roxas North Makati,,,,,,,,
49,North Makati,33050,PNB,Bangkal,G/F Papa Bldg 1638 Evangelista St Bangkal West Makati,,,,,,,,
49,North Makati,33051,PNB,Petron Mega Plaza,G/F Petron Mega Plaza Bldg. 358 Sen. Gil Puyat Ave Makati City,,,,,,,,
49,North Makati,33056,PNB,Sen Gil Puyat,"Burgundy Corp. Tower, 1252 Gil Puyat Avenue, Makati City",,,,,,,,
49,North Makati,33061,PNB,Makati Poblacion,Jp Rizal St Cor Angono & Cardona Sts Poblacion Makati City,,,,,,,,
49,North Makati,33127,PNB,Edison-Buendia,G/F Visard Bldg 19 Sen G Puyat Ave Palanan Makati City,,,,,,,,
49,North Makati,170000,PVB,Head Office,"St., Legaspi Village, Makati City / 3/F Atrium Bldg Makati Ave Makati City",,,,,,,,
49,North Makati,026-000,RCBC,Head Office,"Yuchengco Tower Rcbc Plaza, 6819 Ayala Avenue, Makati City",,,,,,,,
49,North Makati,026-003,RCBC,Buendia,"219 Sen Gil Puyat Avenue, Makati City",,,,,,,,
49,North Makati,026-160,RCBC,Rockwell,"G/F Phinma Bldg Hidalgo Drive, Rockwell Center, Makati City",,,,,,,,
49,North Makati,27135,SBTC,Bel-Air,"No. 68, Jupiter St., Bel-Air, Makati City",,,,,,,,
49,North Makati,010-097,UCPB,J P Rizal,Ucpb Bldg  P Burgos & Jp Rizal Corner Makati Avenue Makati City,,,,,,,,
49,North Makati,010-176,UCPB,Metropolitan Avenue,Bormaheco Bldg  Metropolitan Avenue Corner Zapote St. Makati City 1200,,,,,,,,
49,North Makati,10188,UCPB,Reposo-J.P. Rizal,"G/F Margarita Bldg., 748 J.P. Rizal St. Barangay Poblacion, Makati",,,,,,,,
49,North Makati,43126,UNION,World Center,"#330 Sen Gil Puyat Avenue, Makati City",,,,,,,,
49,North Makati,043-168,UNION,Makati Avenue,7874 Makati Avenue Corner Durban St. Poblacion Makati City,,,,,,,,
49,North Makati,043-007,UNION,Jp Rizal,731 J.P. Rizal St. Brgy.Valenzuela Makati City,,,,,,,,
49,North Makati,043-030,UNION,Vito Cruz,G/F Kingswood Arcade Vito Cruz Ext. Cor Pasong Tamo Makati City,,,,,,,,
49,North Makati,177104,EASTWEST BANK,Pasong Tamo - Bagtikan,"G/F High Pointe Bldg., 1184 Chino Roces Ave. Near Cor. Bagtikan St., Bgry. San Antonio, Makati City",,,,,,,,
49,North Makati,78096,DBP,Makati,"Lot 12, Block 1, F. Zobel St. Corner J.P. Rizal St. Brgy Poblacion, Makati City",,,,,,,,
49,North Makati,33375,PNB,Rockwell Center,"Estrella St. Rockwelll Center, Makati City",,,,,,,,
49,North Makati,27206,SBTC,Makati Avenue- Constellation,"Makati Avenue Corner Constellation St., Brgy.  Bel Air, Makati City",,,,,,,,
49,North Makati,27219,SBTC,Reposo-J.P. Rizal,"Street Near Corner J.P. Rizal Avenue, Makati City",,,,,,,,
50,South Makati,158000,BOC,Head Office,Banker'S Centre Bldg 6764 Ayala Ave Makati City,,,,,,,,
50,South Makati,158069,BOC,Salcedo,"108 Aguirre Bldg., Tordesillas Cor Dela Costa, Salcedo Village, Makati City",,,,,,,,
50,South Makati,2003,BPI,Ayala-Paseo,"G/F Philamlife Tower 8767 Paseo De Roxas, Makati City",,,,,,,,
50,South Makati,2077,BPI,Forbes Park,"Mckinley Road Forbes Park, Makati City",,,,,,,,
50,South Makati,2082,BPI,Paseo De Roxas,G/F Bpi Cond Centre Bldg 8753 Paseo De Roxas Makati City,,,,,,,,
50,South Makati,2102,BPI,Mcc Atrium,"G/F/ Atrium Of Makati, Apartment Ridge Cor Makati Ave., Makati City",,,,,,,,
50,South Makati,2159,BPI,Ayala Triangle,G/F Tower 1 & Exchange Plaza Ayala Ave Makati City,,,,,,,,
50,South Makati,2211,BPI,Salcedo Alfaro,Unit 102 G/F Grand Tower Cond. 150 Lp Leviste St Salcedo Village Makati City 1227,,,,,,,,
50,South Makati,2217,BPI,Ayala-East,"G/F Philamlife Tower, Fgu Center, 6811 Ayala Ave., Makati City",,,,,,,,
50,South Makati,2285,BPI,Salcedo Village,G/F 88 Corporate Centre Valero Cor Sedeno St Salcedo Vill Makati City,,,,,,,,
50,South Makati,2411,BPI,Ayala Ave. Ii,"Ayala Avenue, Makati City",,,,,,,,
50,South Makati,2416,BPI,Alfaro,"130 Lpl Center, L.P. Levesti St., Salcedo Vuillage, Makati City",,,,,,,,
50,South Makati,2472,BPI,Salcedo Tordesillas,"G/F Century Tower   Bldg., Dela Costa Cor. Tordesillas Salcedo Village, Makati 1227",,,,,,,,
50,South Makati,3003,CBC,Makati,8745 P De Roxas Cor Villar St Makati City,,,,,,,,
50,South Makati,30000,CITIBANK,Head Office,G/F Citibank Tower 8741 Paseo De Roxas Makati 1200,,,,,,,,
50,South Makati,078-000,DBP,Dbp Head Office,"Sen. Gil Puyat Ave., Makati City",,,,,,,,
50,South Makati,178-000,DEUTSCHE,Head Office,"26/F Ayala Tower One, Ayala Triangle, Ayala Avenue, Makati City",,,,,,,,
50,South Makati,032-000,HSBC,Makati,"Ayala Avenue Corner Paseo De Roxas, Makati City",,,,,,,,
50,South Makati,086-153,LBP,Makati Bus. Ctr.,122 Lpl Mansions Alfaro Street Salcedo Village Makati City,,,,,,,,
50,South Makati,086-236,LBP,Guadalupe,"2022 R. Magsaysay St. Guadalupe Nuevo, Makati City",,,,,,,,
50,South Makati,086-296,LBP,Makati Tb Atrium,Grd Floor Atrium Blldg Mkt Ave Makt City,,,,,,,,
50,South Makati,015-145,MBTC,Salcedo Village,"G/F Plaza Royale Bldg. 120 Lp Leviste Street Salcedo Village, Makati City",,,,,,,,
50,South Makati,015-139,MBTC,Urdaneta Village,"Atrium Bldg., Makati Avenue Cor Paseo De Roxas, Makati City",,,,,,,,
50,South Makati,015-408,MBTC,Ayala Triangle,"Ayala Avenue Corner Paseo De Roxas Street, Makati City",,,,,,,,
50,South Makati,015-453,MBTC,H.V. Dela Costa,"G/F Westgate Condominium Plaza, 120 H.V. Dela Costa Street, Salcedo Village Makati City",,,,,,,,
50,South Makati,015-454,MBTC,Alfaro,"G/F Alpap Bldg. 140 Lp Leviste Street, Salcedo Village, Makati City",,,,,,,,
50,South Makati,015-456,MBTC,San Agustin-Hv Dela C,"G/F Liberty Center Bldg., 104 H.V. Dela Costa Corner San Agustin Street, Salcedo Village, Makati City",,,,,,,,
50,South Makati,015-458,MBTC,Tordesillas-Gil Puyat,"328 Sen Gil Puyat Ave. Corner Tordesillas Street, Makati City",,,,,,,,
50,South Makati,21011,PHILTRUST,Ayala,6762 Ayala Ave Makati Makati,,,,,,,,
50,South Makati,21034,PHILTRUST,Makati-Tordesillas,"Gil Puyat Avenue Cor Tordesillas St., Makati City",,,,,,,,
50,South Makati,33042,PNB,Buendia,P De Roxas North Makati,,,,,,,,
50,South Makati,33048,PNB,Ayala,G/F Manila Bank Bldg 6772 Ayala Avenue Makati City,,,,,,,,
50,South Makati,33071,PNB,Salcedo Village,G/F Peak Tower Bldg 107 Alfaro St Salcedo Village Makati City,,,,,,,,
50,South Makati,33340,PNB,Bel Air,"#52 Jupiter St., Makati City",,,,,,,,
50,South Makati,170000,PVB,Head Office,"St., Legaspi Village, Makati City / 3/F Atrium Bldg Makati Ave Makati City",,,,,,,,
50,South Makati,026-099,RCBC,Ayala (Makati),"Unit 709-710 7Th   Flr Ayala Tower One,
Ayala Avenue, Makati City",,,,,,,,
49,South Makati,026-110,RCBC,Salcedo Village,Gallardo Sts Salcedo Village Makati City,,,,,,,,
50,South Makati,26181,RCBC,Tordesillas,Phinma Bldg. Tordesillas St. Salcedo Village Makati City,,,,,,,,
50,South Makati,027-049,SBTC,Salcedo,Lpl Plaza Bldg #124 L P Leviste St Salcedo Village Makati City,,,,,,,,
50,South Makati,027-122,SBTC,H V Dela Costa,G/F Alpha  Salcedo Bldg Hv Dela Costa St Salcedo Vill Bel-Air Makati City,,,,,,,,
50,South Makati,169000,SCB,Makati,"G/F Scb Head Office, 6788 Ayala Avenue, Makati City",,,,,,,,
50,South Makati,010-000,UCPB,Main Office,G/F Ucpb Executive Office Bldg Makati Avenue Makati City,,,,,,,,
50,South Makati,010-063,UCPB,Makati Avenue,Makati Ave Corner Sto. Tomas St. Urdaneta Vill Makati City,,,,,,,,
50,South Makati,010-163,UCPB,Tordesillas,Tordesillas  St Salcedo Village Makati City,,,,,,,,
50,South Makati,010-165,UCPB,Valero,G/F Antel Tower 2000  #121 Valero Street Makati City,,,,,,,,
50,South Makati,010-178,UCPB,Guadalupe,"Tan Hock Bldg. P. Burgos Cor. Edsa, Guadalupe Nuevo, Makati City 1212",,,,,,,,
50,South Makati,43096,UNION,Valero,"Le Grand Condo 130 Valero St Salcedo Village, Makati City",,,,,,,,
50,South Makati,043-165,UNION,H.V. Dela Costa,"G/F Global Enterprise Bldg. No. 138 Hv Dela Costa Salcedo Village, Makati City",,,,,,,,
50,South Makati,043-166,UNION,Insular Ayala-Paseo,"Insular Life Building, Ayala Avenue Corner Paseo De Roxas",,,,,,,,
50,South Makati,043-172,UNION,Valero - Antel Platinum,"G/F Antel Platinum Tower, 154 Valero Street, Salcedo Village, Makati City",,,,,,,,
50,South Makati,177030,EASTWEST BANK,Valero,"G/F Retail 1B Area Paseo Parkview Tower 140 Valero St., Makati City",,,,,,,,
50,South Makati,177048,EASTWEST BANK,Ayala-Paseo,"8767 Ayala Cor. Paseo De Roxas, Makati City",,,,,,,,
50,South Makati,177091,EASTWEST BANK,Ayala-Mse,"Makati Stock Exchange Bldg., Ayala Triangle, Ayala, Makati City",,,,,,,,
50,South Makati,015-560,MBTC,Gt Tower,"6813 G/F Gt Tower Int'L Bldg., Ayala Avenue Cor H.V. Dela Costa, Makati City",,,,,,,,
50,South Makati,33361,PNB,Allied Bank Head Office),6754 Ayala Cor Legaspi Makati City,,,,,,,,
50,South Makati,19065,PBCOM,Makati Place Business Center,"G/F Unit C15, Alphaland Makati Place Ayala Avenue Corner Malugay St., Makati City",,,,,,,,
50,South Makati,27198,SBTC,Dela Costa Valero,"Gf, Salcedo Tower, No. 169 H.V. Dela Costa Street, Salcedo Village, Makati City",,,,,,,,
51,Pasay City,158097,BOC,Resorts World Manila,"G/F Resorts World Newport City, Cyber Tourism Zone, Brgy. 183 Pasay City",,,,,,,,
51,Pasay City,2448,BPI,Pasay - D. Macapagal Ave.,"Hobbies Of Asia No. 8 D. Macapagal Ave., Pasay City",,,,,,,,
51,Pasay City,2449,BPI,Pasay Taft,Ltsy Bldg. No. 2308 B. Taft Avenue Pasay City 1300,,,,,,,,
51,Pasay City,2497,BPI,Harrison Buendia,"6365 Skk Bldg Sen. Gil Puyat Ave. Cor Fb Harrison, Pasay City 1300",,,,,,,,
51,Pasay City,2498,BPI,Baclaran,"3100 Roxas Blvd. Baclaran, Pasay City",,,,,,,,
51,Pasay City,2502,BPI,Pasay City,"Erl Investment Bldg., 2528 Taft Ave., Pasay City",,,,,,,,
51,Pasay City,3015,CBC,Sm Mall Of Asia,"G/F Main Hall Arcade, Sm Mall Of Asia, Bay Blvd., Pasay City",,,,,,,,
51,Pasay City,3127,CBC,Pasay-Roxas Blvd,G/F Antel Sea View Towers 2626 Roxas Blvd Pasay City,,,,,,,,
51,Pasay City,3222,CBC,Pasay Libertad,"Cbc Bldg. 184 Libertad St. Antonio, Arnaiz Ave., Pasay City",,,,,,,,
51,Pasay City,177041,EASTWEST BANK,Baclaran,"Unit 2B, New Galleria Baclaran, Lrt South Terminal, Taft Ave. Ext., Pasay City",,,,,,,,
51,Pasay City,086-125,LBP,Owwa Eo,Frederick Bldg Gil Puyat Ave Pasay,,,,,,,,
51,Pasay City,086-127,LBP,Villamor,"G/F, Airmen'S Mall Col. Jesus Villamor Airbase, Pasay City",,,,,,,,
51,Pasay City,086-136,LBP,Senate Eo,3Rd Level Gsis Bldg Roxas Blvd Roxas Pasay,,,,,,,,
51,Pasay City,086-167,LBP,Pasay(Masagana),Masagana Pasay City Mall Taft Ave Cor Libertad Pasay City,,,,,,,,
